Party Code,Outlet Code,Trans Type,Transaction Type,Trans Category,Trans Date,Doc No,Pcs,Stock Code,Customer Name,Outlet Nickname,Design No,Product Category,Dsd Size,Solitaire Shape,Solitaire Color,Solitaire Quality,Sol Wt,Rate,Premium Per,Prem Amt,Solitaire Mrp,Solitaire Net Amount,Pj Customer Scheme Disc Amt,Customer Sch Disc Amt,Pj Disc,Policy Disc Amt,Extra Pj Disc,Extra Pj Disc Amt,Taxable Amount,Tax Amount,Total Cust Disc Amt,Total Amount,Rco,Sco,Trans Remark,Memo Type,Order No,Order Party Name,Salesperson,City,Zone
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,24TT4A3,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-E-VS2,SOLITAIRE,0.30-0.38,MAQ,E,VS2,0.37,56768,0,0,21004.16,21004.16,0,0,0,0,0,0,21004.16,315.0624,0,21319.2224,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,33KE9H6,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-E-VVS2,SOLITAIRE,0.30-0.38,MAQ,E,VVS2,0.37,60538,0,0,22399.06,22399.06,0,0,0,0,0,0,22399.06,335.9859,0,22735.0459,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,37YT9P9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-F-VS2,SOLITAIRE,0.30-0.38,MAQ,F,VS2,0.36,55216,0,0,19877.76,19877.76,0,0,0,0,0,0,19877.76,298.1664,0,20175.9264,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,44DX2C9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-D-VS2,SOLITAIRE,0.30-0.38,MAQ,D,VS2,0.36,57433,0,0,20675.88,20675.88,0,0,0,0,0,0,20675.88,310.1382,0,20986.0182,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,39DF2A3,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.39-0.44-H-VS2,SOLITAIRE,0.39-0.44,MAQ,H,VS2,0.42,54087,0,0,22716.54,22716.54,0,0,0,0,0,0,22716.54,340.7481,0,23057.2881,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,99XK9U9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-D-VS1,SOLITAIRE,0.30-0.38,MAQ,D,VS1,0.33,59873,0,0,19758.09,19758.09,0,0,0,0,0,0,19758.09,296.37135,0,20054.46135,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,99JR9G4,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.39-0.44-H-VS2,SOLITAIRE,0.39-0.44,MAQ,H,VS2,0.42,54107,0,0,22724.94,22724.94,0,0,0,0,0,0,22724.94,340.8741,0,23065.8141,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,23YY9P4,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-F-VS2,SOLITAIRE,0.30-0.38,MAQ,F,VS2,0.32,55216,0,0,17669.12,17669.12,0,0,0,0,0,0,17669.12,265.0368,0,17934.1568,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,74KD4V7,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-E-VS1,SOLITAIRE,0.30-0.38,MAQ,E,VS1,0.32,57877,0,0,18520.64,18520.64,0,0,0,0,0,0,18520.64,277.8096,0,18798.4496,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,96YJ6V9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-G-VS1,SOLITAIRE,0.30-0.38,MAQ,G,VS1,0.32,55216,0,0,17669.12,17669.12,0,0,0,0,0,0,17669.12,265.0368,0,17934.1568,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,99FT9W9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-E-VS2,SOLITAIRE,0.30-0.38,MAQ,E,VS2,0.3,56768,0,0,17030.4,17030.4,0,0,0,0,0,0,17030.4,255.456,0,17285.856,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,69RX9N9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-E-VVS2,SOLITAIRE,0.30-0.38,MAQ,E,VVS2,0.3,60538,0,0,18161.4,18161.4,0,0,0,0,0,0,18161.4,272.421,0,18433.821,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
